mall_name,address,longitude,latitude 
绿地缤纷城,金星西路金星公园斜对面,116.3341,39.7645
华贸天地,清河营南街七号院,116.4323,40.0465
合景·摩方购物中心,崇文门外大街1号,116.4177,39.8996
老佛爷百货,西单北大街110号,116.3743,39.9139
银座和谐广场,万丰路68号,116.2973,39.8823
朝阳大悦城,朝阳北路101号,116.5185,39.9239
悦荟万科广场,南环路10号院1号楼,116.2393,40.2123
食寶街,羊坊店路18号光耀东方广场,116.3220,39.8991
龙湖北京房山天街,拱辰北大街与管委路交口西南角,116.1403,39.7459
喜隆多新国际购物中心,阜石路300号,116.1717,39.9228
东方新天地,东长安街1号,116.4144,39.9091
蓝色港湾,朝阳公园路6号二十一世纪对面,116.4753,39.9491
中粮祥云小镇,安泰大街9号,116.5377,40.0870
Hello Mart城市市集,亮马桥路48号,116.4669,39.9504
八达岭奥莱,南口镇陈庄京藏高速公路陈庄出口北侧,116.1703,40.2351
来福士中心,东直门南大街1号,116.4324,39.9400
赛特奥莱,香江北路28号,116.5056,40.0354
中粮万科半岛广场,长阳路广阳新路9号院1号楼,116.2112,39.7535
万达广场,北苑一路1号院,116.6406,39.9049
环球贸易中心,北三环东路36号,116.4108,39.9672
龙德广场,立汤路186号,116.4155,40.0597
北京富力广场,广渠门外大街东三环南路1号院,116.4607,39.8954
万达广场,石景山路乙18号,116.2262,39.9059
颐堤港,酒仙桥路18号,116.4913,39.9696
大族广场Mall&More,经济技术开发区荣华南路2号,116.5129,39.7927
北京太阳宫爱琴海购物公园,七圣中街12号,116.4365,39.9719
中海环宇荟购物中心,北土城路与安定路西北角,116.4064,39.9779
新东郊商城二层,新东郊商城二层a-087a-088,116.5358,39.8676
北京嘉里中心,光华路1号,116.4593,39.9140
永旺梦乐城,丰葆路88号院1号楼,116.2924,39.8178
枫蓝国际购物中心,西直门北大街32号,116.3565,39.9532
五道口购物中心,成府路28号,116.3393,39.9917
三里屯太古里北区N8座,三里屯路19号三里屯太古里北区,116.4542,39.9387
凯德MALL,太阳宫中路12号,116.4477,39.9715
斯普瑞斯奥特莱斯,机场二高速西侧金盏乡森林公园东1号,116.5964,40.0119
万达广场,南苑西路39号,116.3680,39.8142
远洋未来广场,北四环东路73号,116.4324,39.9902
马家堡新荟城购物中心,马家堡路角门19号院,116.3785,39.8363
汉光百货,西单北大街176号,116.3753,39.9094
凤凰汇购物中心,京密路曙光西里甲5号院,116.4570,39.9629
新世界百货,新顺南大街18号,116.6523,40.1261
金融街购物中心,金城坊街2号,116.3625,39.9153
BHG,北三环安贞西里五区4号华联商厦F1层,116.4012,39.9707
