mall_name,address,longitude,latitude 
大华光启城时尚购物中心,宜山路455号,121.4284,31.1841
第一八佰伴,张杨路501号,121.5170,31.2282
仲盛世界商城,莘庄都市路5001号,121.3871,31.1072
宝龙城市广场,航南公路5639号,121.4627,30.9299
阿拉城,先锋街66号,121.3738,31.1767
上滨生活广场,周家嘴路887-917号,121.5037,31.2600
龙之梦购物公园,长宁路1018号,121.4165,31.2189
新华·红星国际广场,虹井路188号,121.3723,31.1735
KING88商业广场,长宁路88号,121.4269,31.2287
上海湾生活时尚中心,浦东南路1138号,121.5148,31.2271
大宁中心广场,万荣路700号,121.4419,31.2808
MORE MEE时尚生活中心,张杨路588号,121.5190,31.2277
凯德七宝购物广场,七莘路3655号,121.3413,31.1644
恒基名人购物中心,南京东路155号,121.4842,31.2376
东方商厦,真光路1288号百联购物广场内,121.3834,31.2456
联洋广场,芳甸路226号,121.5579,31.2264
BFC南区商场,中山东二路600号,121.4984,31.2254
乐尚天地生活广场,南乐路456号,121.2961,31.0254
美陈广场,新郁路904-906号,121.3632,31.2526
中原城市广场,国和路777号,121.5217,31.3158
万达广场,华江路988号,121.3229,31.2395
宝龙广场,阿克苏路1099号,121.2606,31.3458
特力时尚汇,邯郸路600号万达商业广场内,121.5128,31.3021
泛乐城,墨玉南路1080号,121.1637,31.2878
复地四季广场,宁国路503号,121.5336,31.2676
嘉汇国际广场,天钥桥路325号,121.4429,31.1888
东方商厦,公园路700号,121.1123,31.1484
百联南桥购物中心,百齐路588号,121.4838,30.9159
无限极荟购物中心,湖滨路168号,121.4778,31.2205
三湘商业广场,横港公路37-45号,121.2600,31.1173
隆德丰汗麦邻里中心,北中路与沪南路交叉口东南150米,121.5555,31.1823
中展璞荟,光星路1599号,121.2405,31.0574
金桥购物中心,碧云路555号,121.5811,31.2390
井亭大厦,虹泉路1000号,121.3750,31.1705
凯德星贸 Capital Square,恒通路318号,121.4580,31.2413
万达广场,颛兴东路1559号,121.4062,31.0711
新邻生活站,陆家浜路1100号,121.4870,31.2115
豫园商城,福佑路288号,121.4920,31.2270
紫叶广场,紫星路488弄129号,121.4648,31.0208
虹桥万科中心,申长路988弄,121.3153,31.1966
浦商百货,博山东路88号,121.5608,31.2477
外滩十六铺水岸,中山东二路531号,121.4984,31.2276
SOHO天山广场,天山路1717号,121.4084,31.2094
悦荟广场,南京东路353号,121.4836,31.2367
1933购物中心,沙泾路10号,121.4922,31.2546
湟普汇,吴江路269号,121.4593,31.2291
缤谷文化休闲广场,天山路345号,121.3870,31.2143
丰尚国际广场,运乐路569弄,121.2820,31.2033
上海协信星光广场,江场路1228弄,121.4574,31.2975
太平洋百货,衡山路932号,121.4385,31.1951
久金广场,张杨路与中环路交叉口旁,121.5812,31.2556
平高广场,荣乐中路与九峰路交汇处,121.2309,31.0166
嘉亭荟城市生活广场,墨玉南路1033-1099号,121.1618,31.2875
览海国际广场,世纪大道160号,121.5085,31.2350
力宝广场,淮海中路222号,121.4756,31.2242
梅龙镇广场,南京西路1038号,121.4567,31.2289
金桥股份碧云体育休闲中心,碧云路633号碧云体育休闲中心内,121.5828,31.2402
鹿都国际商业广场,松汇中路568号,121.2347,31.0051
