,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,绿宝步行街,狮山街道长江路436号,120.5494,31.3012,绿宝广场购物中心,邓尉路与长江路交口东北角,120.5494,31.3011,11.119492663861031
1,泉屋百货,长江路211号,120.5492,31.2832,美罗百货,长江路211号,120.5493,31.2823,100.52560547833747
2,星悦汇,苏州中心步行街星州街北,120.6778,31.3195,街角七号,星悦汇商场L3-L4,120.6777,31.319,56.403128167521494
3,圆融星座,旺墩路269号,120.715,31.3183,久光百货,旺墩路268号,120.7152,31.3196,145.79653236361878
4,星海生活广场,星海街199号（星海街西侧与苏州大道西交汇处）,120.6703,31.3148,苏悦广场,苏州大道西119号,120.669,31.3155,145.97789353968776
5,星海生活广场,星海街199号（星海街西侧与苏州大道西交汇处）,120.6703,31.3148,环球188广场,苏惠路88号,120.67,31.3137,125.59067586889466
6,万达百货,人民路3188号,120.6144,31.3415,万达广场,春分街10号,120.6148,31.3425,117.50477850058168
