,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,CityOn熙地港购物中心,众意西路和农业东路交叉东南角,113.7169,34.7847,王府井百货,地德街地坤街西北角,113.7181,34.7841,128.30079624747552
1,万达百货,中原路171号,113.6018,34.7471,万达广场,中原中路171号,113.6015,34.7466,61.98695470283232
2,丹尼斯7天地,商务外环路与众意路交叉口东南,113.723,34.7778,丹尼斯七天地缤纷娱乐,众意路与商务外环路交叉口东南100米,113.7222,34.7779,73.9069877833336
3,国贸360广场,花园路39号,113.6801,34.785,大商新玛特,花园路38新玛特购物广场郑州总店1层,113.681,34.7855,99.22968874742485
4,德化无限城,德化步行商业街与苑陵街交叉口西北50米,113.665,34.7493,百年德化,彩虹路,113.6653,34.7504,125.34778506922974
5,建文新世界商厦,黄河96号文化路黄河路交叉口向东100米路南,113.6688,34.774,汇美尚城,黄河路经八路西南建文新世界1-2层,113.6692,34.774,36.53456564514537
6,富田太阳城,航海东路2号,113.7133,34.7215,一站广场购物中心,中州大道与航海路交叉口西北角,113.7143,34.7216,92.06837225871796
