,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,绿宝步行街,狮山街道长江路436号,120.5494,31.3012,绿宝广场购物中心,邓尉路与长江路交口东北角,120.5494,31.3011,11.119492663861031
1,星悦汇,苏州中心步行街星州街北,120.6778,31.3195,街角七号,星悦汇商场L3-L4,120.6777,31.319,56.403128167521494
